String ID,Source text,Translation,Context,Path,Filename
169,Soaring: Enabled.,Planeur : activé,Msg-Hash,YAAPU,883458048.wav
170,Soaring: thermal weak,Planeur : thermique faible,Msg-Hash,YAAPU,2139150204.wav
171,Soaring: reached upper altitude,Planeur : altitude supérieure atteinte,Msg-Hash,YAAPU,1352994600.wav
172,Soaring: reached lower altitude,Planeur : altitude inférieure atteinte,Msg-Hash,YAAPU,4026147344.wav
173,reached command:,Commande atteinte :,Msg-Hash,YAAPU,4091124880.wav
174,reached waypoint:,Point de passage atteint :,Msg-Hash,YAAPU,3311875476.wav
175,Passed waypoint:,Point de passage franchi :,Msg-Hash,YAAPU,1997782032.wav
176,Takeoff complete,Décollage terminé,Msg-Hash,YAAPU,554623408.wav
177,Smart RTL deactivated,Retour intelligent désactivé,Msg-Hash,YAAPU,3025044912.wav
178,GPS home acquired,Point maison GPS acquis,Msg-Hash,YAAPU,3956583920.wav
179,GPS home acquired,Point maison GPS acquis,Msg-Hash,YAAPU,1309405592.wav
