"String ID","Source text","Translation","Context","Path","Filename"
"428","home reset","point de départ réinitialisé","","","homrst.wav"
"429","GPS","GPS","","","gps.wav"
"430","GPS on","GPS activé","","","gpson.wav"
"431","GPS off","GPS coupé","","","gpsoff.wav"
"432","VTX Frequency R1","fréquence V-T-X R-1","video","","vtxfr1.wav"
"433","VTX Frequency R2","fréquence V-T-X R-2","video","","vtxfr2.wav"
"434","VTX Frequency R3","fréquence V-T-X R-3","video","","vtxfr3.wav"
"435","VTX Frequency R4","fréquence V-T-X R-4","video","","vtxfr4.wav"
"436","VTX Frequency R5","fréquence V-T-X R-5","video","","vtxfr5.wav"
"437","VTX Frequency R6","fréquence V-T-X R6","video","","vtxfr6.wav"
"438","VTX Frequency R7","fréquence V-T-X R-7","video","","vtxfr7.wav"
"439","VTX Frequency R8","fréquence V-T-X R-8","video","","vtxfr8.wav"
"440","VTX Maximum Power","VTX puissance maximum","video","","vtxmax.wav"
"441","blackbox erase","blackbox effacée","","","blkers.wav"
"442","acro trainer mode","mode acro formateur","","","actnmd.wav"
"443","Camera wifi button","bouton wifi caméra","camera","","cwifi.wav"
"444","Camera power button","bouton alimentation caméra","camera","","cpower.wav"
"445","Camera change mode","changement de mode caméra","camera","","cmode.wav"
"446","Camera start","caméra démarrée","camera","","cstart.wav"
"447","Camera stop","caméra arrêtée","camera","","cstop.wav"
"448","Recording start","enregistrement démarré","","","recsrt.wav"
"449","Recording stop","enregistrement arrêté","","","recstp.wav"
"450","Start recording","enregistrement démarré","","","strtrc.wav"
"451","Stop recording","enregistrement arrêté","","","stoprc.wav"
"452","DBM","D B M","","SYSTEM","dbm0.wav"
"453","DBM","D B M","","SYSTEM","dbm1.wav"
"454","kilometer","kilomètre","","SYSTEM","km0.wav"
"455","kilometers","kilomètres","","SYSTEM","km1.wav"
"456","Reverse Thrust","poussée arrière","plane","","revthr.wav"
"457","Reverse Thrust On","poussée arrière activée","plane","","revon.wav"
"458","Reverse Thrust Off","poussée arrière coupée","plane","","revoff.wav"
"459","Reverse Thrust Idle","poussée arrière au ralenti","plane","","revid.wav"
"460","Forward Thrust","poussée avant","plane","","revfwd.wav"
"461","telemetry connected","télémétrie connectée","","SYSTEM","telemco.wav"
"462","level mode","mode niveau","flight controller","","lvlmod.wav"
"463","diffs locked","diffs verrouillés","car","","difloc.wav"
"464","diffs unlocked","diffs déverrouillés","car","","difulc.wav"
"465","engine start","moteur démarré","car","","engsrt.wav"
"466","engine stop","moteur arrêté","car","","engstp.wav"
"467","engine on","moteur allumé","car","","engon.wav"
"468","Turn signals on","feux de direction allumés","car","","turnon.wav"
"469","Turn signals off","feux de direction coupés","car","","turnof.wav"
"470","High gear","vitesse haute","car","","highgr.wav"
"471","Low gear","vitesse basse","car","","lowgr.wav"
"472","Dig mode","mode excavation","car","","digmod.wav"
"473","Two wheel drive","deux roues motrices","car","","2wd.wav"
"474","Four wheel drive","quatre roues motrices","car","","4wd.wav"
"475","Winch in","treuil en remontée","car","","wchin.wav"
"476","Winch out","treuil en descente","car","","wchout.wav"
"477","Front Steer","direction avant","car","","str-f.wav"
